date,pagePath,eventName,eventCount
20250310,/get-paid-faster-with-automated-invoicing/,page_view,32
20250310,/get-paid-faster-with-automated-invoicing/,user_engagement,27
20250227,/,click,18
20250310,/contact/,page_view,18
20250310,/,page_view,17
20250310,/contact/,user_engagement,17
20250310,/blog/,page_view,14
20250310,/blog/,user_engagement,14
20250310,/,user_engagement,13
20250310,/about/,page_view,11
20250308,/,page_view,10
20250310,/business-process-automation-trends-and-insights-for-2024/,page_view,9
20250310,/business-process-automation-trends-and-insights-for-2024/,user_engagement,9
20250310,/pricing/,page_view,9
20250310,/simple-accurate-proof-of-delivery/,page_view,9
20250311,/,page_view,9
20250312,/,page_view,9
20250227,/,page_view,8
20250228,/,click,8
20250308,/,user_engagement,8
20250310,/about/,user_engagement,8
20250310,/how-cfos-leverage-back-office-support-to-reduce-costs-and-optimize-operations/,page_view,8
20250310,/how-cfos-leverage-back-office-support-to-reduce-costs-and-optimize-operations/,user_engagement,8
20250310,/pricing/,user_engagement,8
20250310,/services/,page_view,8
20250310,/simple-accurate-proof-of-delivery/,user_engagement,8
20250222,/,page_view,7
20250310,/services/,user_engagement,7
20250310,/simplify-load-management-with-automation-for-faster-freight-dispatch/,page_view,7
20250222,/,session_start,6
20250224,/pricing/,page_view,6
20250228,/,page_view,6
20250228,/,session_start,6
20250308,/,session_start,6
20250310,/simplify-load-management-with-automation-for-faster-freight-dispatch/,user_engagement,6
20250311,/,user_engagement,6
20250312,/,user_engagement,6
20250220,/,page_view,5
20250220,/,user_engagement,5
20250222,/,user_engagement,5
20250224,/pricing/,scroll,5
20250224,/pricing/,user_engagement,5
20250228,/,user_engagement,5
20250303,/blog/,page_view,5
20250303,/the-importance-of-manual-data-entry-services-in-the-digital-age/,page_view,5
20250310,/accounting-and-finance/,page_view,5
20250310,/manual-data-entry/,page_view,5
20250310,/manual-data-entry/,user_engagement,5
20250312,/,session_start,5
20250315,/,page_view,5
20250225,/,click,4
20250225,/,page_view,4
20250227,/,user_engagement,4
20250227,/about/,click,4
20250303,/,page_view,4
20250303,/,user_engagement,4
20250305,/,page_view,4
20250305,/,session_start,4
20250306,/simple-accurate-proof-of-delivery/,page_view,4
20250310,/customer-support/,page_view,4
20250311,/blog/,page_view,4
20250311,/blog/,user_engagement,4
20250315,/,user_engagement,4
20250315,/blog/,page_view,4
20250315,/blog/,user_engagement,4
20250319,/blog/,page_view,4
20250216,/,first_visit,3
20250216,/,page_view,3
20250216,/,session_start,3
20250220,/,session_start,3
20250220,/accounting-and-finance/,page_view,3
20250220,/customer-support/,page_view,3
20250220,/customer-support/,user_engagement,3
20250221,/pricing/,page_view,3
20250221,/pricing/,user_engagement,3
20250222,/,first_visit,3
20250227,/,scroll,3
20250227,/,session_start,3
20250227,/contact/,page_view,3
20250301,/,first_visit,3
20250301,/,page_view,3
20250301,/,session_start,3
20250303,/blog/,user_engagement,3
20250303,/the-importance-of-manual-data-entry-services-in-the-digital-age/,session_start,3
20250306,/,page_view,3
20250306,/get-paid-faster-with-automated-invoicing/,page_view,3
20250308,/,first_visit,3
