date,pagePath,eventName,averageSessionDuration
20250310,/get-paid-faster-with-automated-invoicing/,user_engagement,1533.1212215
20250220,/services/,user_engagement,1412.867241
20250222,/reposession-services/,user_engagement,1352.839501
20250226,/,page_view,1314.348799
20250224,/pricing/,user_engagement,941.158762
20250310,/,user_engagement,893.9311295
20250305,/,user_engagement,816.1567155
20250215,/,user_engagement,719.344084
20250218,/customer-support/,user_engagement,537.038195
20250215,/404/,page_view,535.830099
20250303,/blog/,user_engagement,529.3911015
20250310,/get-paid-faster-with-automated-invoicing/,page_view,519.0546424
20250303,/,page_view,505.8945585
20250308,/,user_engagement,471.126716
20250315,/the-legal-aspect-of-repossession-know-your-rights-as-a-borrower-and-lender/,page_view,351.411299
20250222,/about/,user_engagement,339.963524
20250222,/services/,scroll,319.336599
20250310,/contact/,user_engagement,314.994864
20250224,/blog/,page_view,305.629041
20250218,/,scroll,293.579498
20250311,/,user_engagement,291.487574
20250310,/,page_view,283.4128095
20250216,/404/,click,279.075681
20250311,/simple-accurate-proof-of-delivery/,user_engagement,264.028808
20250319,/simple-accurate-proof-of-delivery/,page_view,236.705971
20250218,/about/,scroll,232.696214
20250224,/transcription/,scroll,232.603327
20250308,/reposession-services/,user_engagement,217.005808
20250303,/,user_engagement,216.286859
20250310,/pricing/,user_engagement,211.659898
20250306,/reposession-services/,user_engagement,205.761298
20250312,/,page_view,198.3507576
20250218,/reposession-services/,user_engagement,197.09888
20250225,/,page_view,195.5580365
20250220,/manual-data-entry/,user_engagement,189.695324
20250220,/,user_engagement,188.18705625
20250306,/get-paid-faster-with-automated-invoicing/,user_engagement,171.6757355
20250227,/about/,user_engagement,167.473471
20250311,/,page_view,166.99584633333333
20250310,/about/,user_engagement,166.6584465
20250310,/business-process-automation-trends-and-insights-for-2024/,user_engagement,162.356303
20250228,/,page_view,156.11779475
20250310,/about/,page_view,151.644475
20250310,/manual-data-entry/,page_view,151.167635
20250310,/manual-data-entry/,user_engagement,137.922229
20250306,/how-cfos-leverage-back-office-support-to-reduce-costs-and-optimize-operations/,user_engagement,129.8855825
20250227,/,user_engagement,126.7839025
20250218,/,user_engagement,123.986078
20250312,/,user_engagement,121.46138
20250225,/,user_engagement,116.148126
20250310,/services/,user_engagement,113.98252
20250227,/,click,110.91388066666667
20250222,/reposession-services/,scroll,105.439897
20250313,/,user_engagement,99.688451
20250315,/,user_engagement,97.9332965
20250225,/,click,87.681438
20250218,/accounting-and-finance/,user_engagement,85.081976
20250310,/customer-support/,page_view,84.9865835
20250315,/blog/,user_engagement,84.196718
20250218,/contact/,user_engagement,82.619433
20250306,/simplify-load-management-with-automation-for-faster-freight-dispatch/,user_engagement,80.1688265
20250306,/business-process-automation-trends-and-insights-for-2024/,user_engagement,80.018508
20250310,/contact/,page_view,79.2830885
20250303,/,click,78.224649
20250228,/,user_engagement,78.000461333333334
20250310,/blog/,page_view,76.1021665
20250227,/,scroll,74.9091585
20250308,/,scroll,69.00635
20250220,/reposession-services/,page_view,60.130627
20250310,/pricing/,page_view,56.5409165
20250306,/simple-accurate-proof-of-delivery/,user_engagement,53.968665
20250226,/contact/,scroll,50.922672
20250227,/about/,click,50.922445
20250227,/contact/,user_engagement,50.147702
20250218,/crm-support/,user_engagement,49.972345
20250304,/,user_engagement,48.086859
20250310,/blog/,user_engagement,46.7005535
20250310,/reposession-services/,page_view,46.539005
20250227,/,page_view,45.02250733333333
20250303,/,scroll,44.754383
20250310,/transcription/,page_view,44.6868435
20250310,/simple-accurate-proof-of-delivery/,user_engagement,44.5640905
20250315,/reposession-services/,user_engagement,44.394295
20250219,/,user_engagement,43.769211
20250310,/contact/,scroll,40.9984265
20250319,/blog/,page_view,40.641488
20250218,/manual-data-entry/,user_engagement,39.619404
20250221,/portfolio/basket-of-flower-on-table/,user_engagement,38.296154
20250310,/services/,page_view,36.4306205
20250224,/manual-data-entry/,page_view,36.067261
20250222,/,user_engagement,35.96638475
20250310,/simple-accurate-proof-of-delivery/,page_view,34.0359465
20250308,/services/,user_engagement,33.277536
20250221,/pricing/,user_engagement,33.090511
20250220,/customer-support/,user_engagement,31.95706
20250303,/the-importance-of-manual-data-entry-services-in-the-digital-age/,page_view,30.876398
20250221,/,user_engagement,28.510532
20250217,/,user_engagement,27.938606
20250224,/pricing/,page_view,27.591583
20250312,/simple-accurate-proof-of-delivery/,user_engagement,26.950408
20250308,/data-entry-companies-in-the-usa-the-ultimate-guide/,user_engagement,26.60532
20250301,/,user_engagement,25.694715
20250310,/business-process-automation-trends-and-insights-for-2024/,page_view,25.1248545
20250310,/simplify-load-management-with-automation-for-faster-freight-dispatch/,page_view,24.9954725
20250224,/,user_engagement,24.928444
20250311,/simple-accurate-proof-of-delivery/,page_view,24.155727
20250310,/how-cfos-leverage-back-office-support-to-reduce-costs-and-optimize-operations/,user_engagement,22.84863
20250306,/get-paid-faster-with-automated-invoicing/,page_view,22.5878175
20250227,/contact/,page_view,20.573007
20250225,/404/,user_engagement,19.321012
20250224,/transcription/,user_engagement,18.984788
20250315,/blog/,page_view,18.968552
20250308,/about/,user_engagement,18.715081
20250228,/,click,18.01699
20250221,/pricing/,scroll,17.627084
20250310,/accounting-and-finance/,page_view,17.450916333333335
20250215,/,page_view,16.917984
20250220,/accounting-and-finance/,page_view,16.694705
20250308,/about/,scroll,16.463342
20250220,/customer-support/,page_view,16.118827
20250303,/blog/,scroll,15.884257
20250221,/pricing/,page_view,15.579134
20250308,/reposession-services/,page_view,15.541824
20250311,/blog/,user_engagement,14.74342
20250306,/blog/,user_engagement,14.6998025
20250221,/crm-support/,scroll,13.868919
20250221,/about/,scroll,13.493714
20250224,/transcription/,page_view,13.448936
20250311,/blog/,page_view,13.418232
20250224,/pricing/,scroll,13.170283
20250218,/customer-support/,page_view,11.291792
20250221,/contact/,scroll,11.055608
20250222,/about/,page_view,10.921003
20250306,/simple-accurate-proof-of-delivery/,page_view,10.676358
20250310,/simplify-load-management-with-automation-for-faster-freight-dispatch/,user_engagement,10.576561
20250221,/about/,page_view,10.498623
20250227,/contact/,click,10.440471
20250308,/the-importance-of-manual-data-entry-services-in-the-digital-age/,user_engagement,10.248336
20250226,/,scroll,10.176162
20250218,/reposession-services/,page_view,10.033003
20250225,/,scroll,10.008909
20250220,/accounting-and-finance/,user_engagement,9.946435
20250311,/get-paid-faster-with-automated-invoicing/,user_engagement,9.73621
20250310,/how-cfos-leverage-back-office-support-to-reduce-costs-and-optimize-operations/,page_view,9.5329245
20250303,/the-importance-of-manual-data-entry-services-in-the-digital-age/,scroll,8.95046
20250306,/simplify-load-management-with-automation-for-faster-freight-dispatch/,page_view,8.50585
20250215,/,click,8.303017
20250224,/contact/,page_view,7.920712
20250224,/reposession-services/,page_view,7.84488
20250312,/blog/,user_engagement,7.674729
20250312,/simple-accurate-proof-of-delivery/,page_view,7.397164
20250222,/reposession-services/,page_view,7.392846
20250220,/,page_view,7.1429536666666671
20250308,/services/,scroll,7.056487
20250224,/accounting-and-finance/,page_view,6.985873
20250218,/contact/,page_view,6.920288
20250315,/the-legal-aspect-of-repossession-know-your-rights-as-a-borrower-and-lender/,user_engagement,6.757434
20250224,/contact/,scroll,6.598559
20250220,/blog/,page_view,6.396588
20250312,/blog/,page_view,6.10608
20250310,/customer-support/,user_engagement,6.1021875
20250218,/manual-data-entry/,page_view,6.02414
20250315,/,page_view,5.965121
20250303,/blog/,page_view,5.959671
20250315,/reposession-services/,page_view,5.955858
20250220,/manual-data-entry/,page_view,5.910086
20250220,/crm-support/,page_view,5.796151
20250306,/blog/,page_view,5.6499255
20250224,/,page_view,5.569246
20250306,/business-process-automation-trends-and-insights-for-2024/,page_view,5.553241
20250221,/portfolio/basket-of-flower-on-table/,scroll,5.483665
20250225,/404/,page_view,5.431059
20250227,/about/,page_view,5.41355
20250317,/,page_view,5.404923
20250218,/crm-support/,page_view,5.402895
20250225,/wo-admin,page_view,5.347994
20250224,/about/,page_view,5.325303
20250221,/services/,page_view,5.323846
20250225,/wop-admin,page_view,5.210737
20250220,/crm-support/,user_engagement,5.18915
20250308,/the-importance-of-manual-data-entry-services-in-the-digital-age/,page_view,5.16566
20250226,/contact/,page_view,5.159499
20250306,/reposession-services/,page_view,5.156664
20250220,/services/,page_view,5.149273
20250218,/accounting-and-finance/,page_view,5.116764
20250308,/data-entry-companies-in-the-usa-the-ultimate-guide/,page_view,5.099506
20250308,/services/,page_view,5.092342
20250308,/about/,page_view,5.083429
20250313,/blog/,page_view,5.03997
20250218,/about/,page_view,5.023638
20250317,/,scroll,4.925144
20250311,/,scroll,4.887732
20250221,/portfolio/basket-of-flower-on-table/,page_view,4.865339
20250222,/services/,page_view,4.302627
20250228,/,scroll,4.289439
20250220,/reposession-services/,user_engagement,4.25492
20250303,/get-paid-faster-with-automated-invoicing/,page_view,4.09966
20250308,/,page_view,4.0416833333333333
20250308,/blog/,page_view,3.971723
20250306,/how-cfos-leverage-back-office-support-to-reduce-costs-and-optimize-operations/,page_view,3.906279
20250310,/reposession-services/,user_engagement,3.468074
20250222,/,page_view,3.0664004
20250306,/,page_view,2.978205
20250218,/about/,user_engagement,2.953793
20250310,/transcription/,user_engagement,2.6247395
20250303,/the-importance-of-manual-data-entry-services-in-the-digital-age/,user_engagement,2.623345
20250317,/get-paid-faster-with-automated-invoicing/,user_engagement,2.390837
20250306,/,user_engagement,2.357775
20250220,/about/,page_view,2.302912
20250221,/crm-support/,user_engagement,2.186644
20250308,/blog/,user_engagement,2.172239
20250310,/accounting-and-finance/,user_engagement,1.928075
20250224,/contact/,user_engagement,1.606798
20250224,/accounting-and-finance/,user_engagement,1.453514
20250225,/wo-admin,user_engagement,1.258674
20250228,/contact/,user_engagement,1.228438
20250225,/wop-admin,user_engagement,1.21329
20250311,/get-paid-faster-with-automated-invoicing/,page_view,1.099515
20250221,/contact/,page_view,1.087567
20250310,/simple-accurate-proof-of-delivery/,scroll,0.867726
20250317,/,user_engagement,0.009709
20250221,/about/,user_engagement,0.00708
